index,veg1,veg2,veg3
424,0.763206,0.679724,0.543088
425,0.763309,0.680039,0.544382
426,0.763408,0.680351,0.545668
427,0.763517,0.680634,0.546933
428,0.763610,0.680961,0.548194
429,0.763701,0.681274,0.549452
430,0.763788,0.681584,0.550720
431,0.763886,0.681886,0.551974
432,0.763976,0.682186,0.553251
433,0.764070,0.682498,0.554499
434,0.764163,0.682773,0.555708
435,0.764280,0.683099,0.556959
436,0.764370,0.683401,0.558196
437,0.764455,0.683691,0.559442
438,0.764543,0.683980,0.560657
439,0.764631,0.684251,0.561869
440,0.764739,0.684540,0.563103
441,0.764842,0.684838,0.564342
442,0.764941,0.685148,0.565582
443,0.765032,0.685465,0.566835
444,0.765135,0.685753,0.568109
445,0.765238,0.686059,0.569329
446,0.765326,0.686348,0.570550
447,0.765403,0.686641,0.571769
448,0.765490,0.686948,0.573032
449,0.765578,0.687227,0.574265
450,0.765658,0.687514,0.575500
451,0.765733,0.687791,0.576774
452,0.765807,0.688085,0.577954
453,0.765893,0.688375,0.579200
454,0.765978,0.688670,0.580451
455,0.766074,0.688963,0.581686
456,0.766163,0.689289,0.582905
457,0.766254,248488695498457802582989676877736513089593097885369405025009486633347952715989419817405733980143224921149822470598281559305160770063704946045051994112.000000,0.584176
458,0.766348,0.689860,0.585403
459,0.766432,0.690173,0.586656
460,0.766505,0.690471,0.587905
461,0.766603,0.690749,0.589156
462,0.766694,0.691029,0.590408
463,0.766786,0.691300,0.591676
464,0.766868,0.691565,0.592920
465,0.766959,0.691835,0.594211
466,0.767042,0.692113,0.595492
467,0.767120,0.692390,0.596753
468,0.767205,0.692684,0.598091
469,0.767279,0.692954,0.599373
470,0.767379,0.693262,0.600650
471,0.767463,0.693536,0.601979
472,0.767538,0.693812,0.603240
473,0.767619,0.694087,0.604568
474,0.767702,0.694359,0.605856
475,0.767781,0.694623,0.607186
476,0.767866,0.694865,0.608483
477,0.767941,0.695129,0.609775
478,0.768024,0.695366,0.611107
479,0.768097,0.695632,0.612390
480,0.768179,0.695923,0.613726
481,0.768257,0.696180,0.615044
482,0.768345,0.696407,0.616368
483,0.768429,0.696650,0.617642
484,0.768514,0.696910,0.618914
