index,Aveg1L,Aveg1R,Aveg2L,Aveg2R,Aveg3L,Aveg3R
419,0.481891,0.482005,0.475992,0.475881,0.167009,0.176097
420,0.481902,0.482024,0.476023,0.475913,0.168105,0.177240
421,0.481913,0.482040,0.476046,0.475941,0.169204,0.178308
422,0.481920,0.482050,0.476074,0.475976,0.170314,0.179459
423,0.481934,0.482067,0.476102,0.476008,0.171458,0.180611
424,0.481940,0.482080,0.476140,0.476039,0.172596,0.181761
425,0.481951,0.482097,0.476171,0.476072,0.173682,0.182901
426,0.481962,0.482109,0.476201,0.476098,0.174760,0.184082
427,0.481967,0.482125,0.476230,0.476120,0.175874,0.185189
428,0.481977,0.482137,0.476260,0.476147,0.176995,0.186302
429,0.481986,0.482153,0.476296,0.476176,0.178109,0.187433
430,0.481995,0.482166,0.476317,0.476199,0.179226,0.188568
431,0.482005,0.482183,0.476347,0.476226,0.180358,0.189696
432,0.482017,0.482197,0.476371,0.476259,0.181487,0.190859
433,0.482029,0.482211,0.476403,0.476285,0.182643,0.191992
434,0.482039,0.482226,0.476428,0.476320,0.183807,0.193163
435,0.482045,0.482237,0.476458,0.476356,0.184944,0.194347
436,0.482052,0.482254,0.476490,0.476395,0.186089,0.195492
437,0.482066,0.482267,0.476515,0.476422,0.187208,0.196680
438,0.482075,0.482283,0.476544,0.476456,0.188337,0.197786
439,0.482084,0.482305,0.476580,0.476494,0.189498,0.198926
440,0.482098,0.482321,0.476607,0.476531,0.190652,0.200121
441,0.482111,0.482333,0.476632,0.476568,0.191784,0.201284
442,0.482120,0.482347,0.476656,0.476607,0.192999,0.202425
443,0.482126,0.482359,0.476685,0.476642,0.194171,0.203557
444,0.482139,0.482371,0.476719,0.476672,0.195355,0.204700
445,0.482144,0.482382,0.476752,0.476705,0.196547,0.205834
446,0.482156,0.482393,0.476785,0.476740,0.197692,0.206975
447,0.482169,0.482407,0.476821,0.476777,0.198872,0.208094
448,0.482183,0.482422,0.476849,0.476814,0.200043,0.209255
449,0.482191,0.482432,0.476877,0.476847,0.201217,0.210408
450,0.482198,0.482444,0.476912,0.476877,0.202406,0.211560
451,0.482209,0.482456,0.476943,0.476915,0.203561,0.212715
452,0.482224,0.482470,0.476976,0.476951,0.204753,0.213884
453,0.482234,0.482487,0.477006,0.476990,0.205946,0.215009
454,0.482245,0.482501,0.477045,0.477024,0.207103,0.216122
455,0.482256,0.482522,0.477084,0.477057,0.208248,0.217257
456,0.482264,0.482532,0.477120,0.477097,0.209385,0.218432
457,0.482271,0.482545,0.477148,0.477134,0.210502,0.219567
458,0.482281,0.482559,0.477185,0.477170,0.211689,0.220720
459,0.482288,0.482570,0.477210,0.477209,0.212845,0.221873
460,0.482297,0.482582,0.477249,0.477242,0.213956,0.223002
461,0.482307,0.482596,0.477284,0.477278,0.215137,0.224111
462,0.482316,0.482606,0.477316,0.477323,0.216271,0.225227
463,0.482327,0.482616,0.477343,0.477366,0.217402,0.226258
464,0.482338,0.482628,0.477382,0.477405,0.218519,0.227372
465,0.482348,0.482642,0.477413,0.477447,0.219656,0.228464
466,0.482357,0.482651,0.477456,0.477490,0.220792,0.229568
467,0.482366,0.482659,0.477489,0.477532,0.221930,0.230649
468,0.482377,0.482669,0.477526,0.477563,0.223079,0.231750
469,0.482383,0.482676,0.477559,0.477606,0.224232,0.232866
470,0.482394,0.482687,0.477602,0.477646,0.225369,0.233942
471,0.482400,0.482697,0.477638,0.477681,0.226496,0.235058
472,0.482406,0.482710,0.477678,0.477724,0.227609,0.236160
473,0.482415,0.482724,0.477708,0.477763,0.228725,0.237248
474,0.482426,0.482736,0.477745,0.477804,0.229857,0.238351
475,0.482440,0.482751,0.477780,0.477850,0.231012,0.239396
476,0.482451,0.482766,0.477821,0.477895,0.232113,0.240478
477,0.482460,0.482776,0.477862,0.477932,0.233187,0.241569
478,0.482469,0.482785,0.477899,0.477964,0.234282,0.242609
479,0.482482,0.482798,0.477947,0.478005,0.235364,0.243676
480,0.482496,0.482818,0.477986,0.478054,0.236465,0.244771
481,0.482502,0.482827,0.478032,0.478088,0.237562,0.245876
482,0.482513,0.482839,0.478076,0.478133,0.238747,0.246931
483,0.482520,0.482851,0.478122,0.478166,0.239863,0.248003
484,0.482531,0.482863,0.478162,0.478206,0.240939,0.249069
485,0.482540,0.482878,0.478204,0.478243,0.242035,0.250135
486,0.482553,0.482889,0.478235,0.478283,0.243128,0.251237
487,0.482568,0.482901,0.478268,0.478326,0.244238,0.252286
488,0.482578,0.482913,0.478304,0.478368,0.245352,0.253348
489,0.482588,0.482924,0.478337,0.478411,0.246443,0.254446
490,0.482600,0.482937,0.478383,0.478450,0.247556,0.255460
491,0.482610,0.482948,0.478423,0.478486,0.248663,0.256514
492,0.482623,0.482955,0.478456,0.478525,0.249733,0.257592
493,0.482630,0.482966,0.478494,0.478569,0.250798,0.258621
494,0.482640,0.482974,0.478532,0.478613,0.251884,0.259688
495,0.482648,0.482984,0.478574,0.478651,0.252979,0.260717
496,0.482657,0.482993,0.478615,0.478698,0.254066,0.261733
497,0.482667,0.483008,0.478657,0.478741,0.255149,0.262750
498,0.482679,0.483020,0.478688,0.478788,0.256213,0.263834
499,0.482692,0.483034,0.478725,0.478820,0.257247,0.264891
