index,veg1,veg2,veg3
370,0.990357,0.979251,0.460390
371,0.990222,0.979559,0.463024
372,0.990117,0.979877,0.465640
373,0.989967,0.980148,0.468292
374,0.989844,0.980407,0.470942
375,0.989706,0.980627,0.473573
376,0.989590,0.980840,0.476298
377,0.989475,0.981006,0.479012
378,0.989362,0.981228,0.481832
379,0.989224,0.981378,0.484547
380,0.989089,0.981510,0.487288
381,0.988945,0.981640,0.490035
382,0.988811,0.981766,0.492820
383,0.988665,0.981860,0.495570
384,0.988519,0.981954,0.498342
385,0.988376,0.982008,0.501144
386,0.988226,0.982088,0.503953
387,0.988074,0.982134,0.506635
388,0.987927,0.982178,0.509358
389,0.987754,0.982200,0.512194
390,0.987585,0.982207,0.514993
391,0.987435,0.982217,0.517847
392,0.987287,0.982222,0.520660
393,0.987130,0.982207,0.523442
394,0.986982,0.982195,0.526290
395,0.986833,0.982173,0.529116
396,0.986662,0.982144,0.531852
397,0.986488,0.982112,0.534615
398,0.986313,0.982080,0.537479
399,0.986154,0.982020,0.540300
400,0.985978,0.981959,0.543147
401,0.985805,0.981901,0.546022
402,0.985627,0.981843,0.548976
403,0.985434,0.981771,0.551800
404,0.985231,0.981714,0.554726
405,0.985059,0.981636,0.557647
406,0.984856,0.981543,0.560543
407,0.984684,0.981459,0.563370
408,0.984473,0.981373,0.566292
409,0.984269,0.981283,0.569225
410,0.984076,0.981196,0.572111
411,0.983885,0.981123,0.575099
412,0.983664,0.981025,0.578054
413,0.983480,0.980914,0.580945
414,0.983282,0.980816,0.583865
415,0.983063,0.980703,0.586906
416,0.982851,0.980599,0.589893
417,0.982646,0.980488,0.592867
418,0.982437,0.980380,0.595858
419,0.982242,0.980258,0.598802
420,0.982036,0.980137,0.601777
421,0.981807,0.980014,0.604733
422,0.981566,0.979897,0.607715
423,0.981330,0.979768,0.610616
424,0.981111,0.979639,0.613580
425,0.980850,0.979509,0.616497
426,0.980636,0.979386,0.619556
427,0.980390,0.979258,0.622506
428,0.980156,0.979131,0.625460
429,0.979920,0.978995,0.628416
430,0.979661,0.978854,0.631384
431,0.979420,0.978713,0.634352
432,0.979171,0.978561,0.637321
433,0.978901,0.978412,0.640255
434,0.978635,0.978237,0.643189
435,0.978376,0.978101,0.646104
436,0.978125,0.977943,0.649044
437,0.977847,0.977782,0.652054
438,0.977568,0.977617,0.654973
439,0.977322,0.977456,0.657910
440,0.977056,0.977296,0.660864
441,0.976777,0.977124,0.663716
442,0.976495,0.976951,0.666628
443,0.976239,0.976788,0.669540
444,0.975973,0.976601,0.672381
445,0.975676,0.976438,0.675226
446,0.975370,0.976262,0.678081
447,0.975058,0.976089,0.680956
448,0.974760,0.975906,0.683762
449,0.974464,0.975712,0.686625
450,0.974155,0.975525,0.689405
451,0.973862,0.975355,0.692231
452,0.973574,0.975173,0.694982
453,0.973259,0.974967,0.697770
454,0.972927,0.974774,0.700511
455,0.972609,0.974598,0.703231
456,0.972297,0.974405,0.705984
457,0.971958,0.974203,0.708776
458,0.971605,0.974009,0.711497
459,0.971270,0.973816,0.714258
460,0.970928,0.973638,0.716927
461,0.970609,0.973431,0.719612
462,0.970269,0.973238,0.722293
463,0.969911,0.973004,0.724948
464,0.969566,0.972805,0.727593
465,0.969200,0.972592,0.730292
466,0.968842,0.972372,0.732867
467,0.968461,0.972168,0.735454
468,0.968090,0.971948,0.738057
469,0.967701,0.971737,0.740594
470,0.967308,0.971483,0.743135
471,0.966902,0.971249,0.745779
472,0.966527,0.970994,0.748246
473,0.966133,0.970762,0.750713
474,0.965749,0.970529,0.753145
475,0.965355,0.970291,0.755581
476,0.964964,0.970058,0.758093
477,0.964550,0.969835,0.760515
478,0.964150,0.969587,0.762919
479,0.963755,0.969358,0.765261
480,0.963372,0.969104,0.767623
481,0.962947,0.968843,0.769951
482,0.962535,0.968595,0.772263
483,0.962134,0.968349,0.774573
484,0.961691,0.968079,0.776791
485,0.961304,0.967805,0.778989
486,0.960892,0.967557,0.781180
487,0.960455,0.967315,0.783422
488,0.960022,0.967047,0.785615
489,0.959583,0.966783,0.787788
490,0.959132,0.966489,0.789893
491,0.958711,0.966234,0.791993
492,0.958256,0.965948,0.794011
493,0.957817,0.965637,0.796086
494,0.957390,0.965365,0.798092
495,0.956910,0.965065,0.800112
496,0.956454,0.964774,0.802073
497,0.956011,0.964495,0.804019
498,0.955528,0.964196,0.805969
499,0.955047,0.963896,0.807847
